Time(seconds),Distance(percent),Sector,Speed(Km/hr),Crash count
0,0%,1,13,0
1,0%,1,22,0
2,0%,1,30,0
3,1%,1,28,0
4,1%,1,30,0
5,2%,1,27,0
6,2%,1,24,0
7,2%,1,19,0
8,3%,1,21,0
9,4%,1,29,0
10,4%,1,37,0
11,5%,1,45,0
12,6%,1,53,0
13,7%,1,50,0
14,8%,1,47,0
15,9%,1,44,0
16,9%,1,36,0
17,10%,1,20,0
18,11%,1,0,0
19,10%,1,1,0
20,10%,1,0,0
21,10%,1,0,0
22,10%,1,0,0
23,10%,1,9,0
24,9%,1,12,0
25,9%,1,11,0
26,9%,1,0,0
27,9%,1,0,0
28,9%,1,0,0
29,9%,1,4,0
30,9%,1,11,0
31,9%,1,15,0
32,9%,1,13,0
33,9%,1,3,0
34,9%,1,5,0
35,9%,1,14,0
36,10%,1,22,0
37,10%,1,29,0
38,11%,1,38,0
39,12%,1,38,0
40,12%,1,37,0
41,13%,2,34,0
42,15%,2,22,0
43,14%,2,22,0
44,15%,2,27,0
45,15%,2,35,0
46,16%,2,42,0
47,17%,2,41,0
48,17%,2,39,0
49,18%,2,36,0
50,20%,2,32,0
51,20%,2,8,0
52,20%,2,0,0
53,20%,2,0,0
54,20%,2,0,0
55,20%,2,0,0
56,20%,2,4,0
57,19%,2,6,0
58,19%,2,3,0
59,20%,2,12,0
60,20%,2,21,0
61,20%,2,29,0
62,21%,2,37,0
63,22%,2,45,0
64,22%,2,49,0
65,24%,2,44,0
66,25%,2,14,0
67,25%,2,2,0
68,25%,2,3,0
69,25%,2,7,0
70,25%,2,0,0
71,25%,2,1,0
72,25%,2,10,0
73,25%,3,12,0
74,25%,3,18,0
75,25%,3,19,0
76,26%,3,27,0
77,27%,3,36,0
78,27%,3,40,0
79,28%,3,38,0
80,29%,3,35,0
81,30%,3,31,0
82,30%,3,22,0
83,30%,3,19,0
84,31%,3,26,0
85,32%,3,34,0
86,32%,3,42,0
87,33%,3,49,0
88,34%,3,57,0
89,35%,3,54,0
90,36%,3,51,0
91,37%,3,44,0
92,39%,3,40,0
93,39%,3,28,0
94,39%,3,8,0
95,39%,3,0,0
96,40%,3,8,0
97,40%,3,0,0
98,40%,3,0,0
99,40%,3,2,0
100,40%,3,2,0
101,40%,3,3,0
102,40%,3,3,0
103,40%,3,0,0
104,40%,3,0,0
105,40%,3,0,0
106,40%,3,0,0
107,40%,3,1,0
108,40%,3,1,0
109,40%,3,1,0
110,40%,3,1,0
111,39%,3,0,0
112,39%,3,0,0
113,39%,3,0,0
114,39%,3,0,0
115,39%,3,0,0
116,39%,3,2,0
117,39%,3,1,0
118,39%,3,7,0
119,39%,3,15,0
120,40%,3,25,0
121,40%,3,33,0
122,41%,3,40,0
123,42%,3,48,0
124,42%,3,55,0
125,44%,3,63,0
126,45%,3,70,0
127,46%,3,72,0
128,47%,3,69,0
129,48%,3,63,0
130,53%,1,32,0
131,53%,1,17,0
132,53%,1,2,0
133,53%,1,0,0
134,53%,1,4,0
135,53%,1,0,0
136,53%,1,5,0
137,53%,1,11,0
138,52%,1,13,0
139,52%,1,12,0
140,51%,1,9,0
141,52%,1,9,0
142,52%,1,7,0
143,53%,1,7,0
144,53%,1,16,0
145,53%,1,24,0
146,54%,1,32,0
147,54%,1,40,0
148,55%,1,48,0
149,56%,1,54,0
150,57%,1,51,0
151,58%,1,48,0
152,59%,1,44,0
153,59%,1,37,0
154,60%,1,34,0
155,60%,1,31,0
156,61%,1,28,0
157,62%,1,27,0
158,62%,1,28,0
159,63%,2,25,0
160,63%,2,23,0
161,64%,2,24,0
162,64%,2,32,0
163,65%,2,40,0
164,66%,2,47,0
165,67%,2,45,0
166,68%,2,43,0
167,68%,2,40,0
168,70%,2,32,0
169,71%,2,28,0
170,70%,2,25,0
171,71%,2,27,0
172,72%,2,35,0
173,72%,2,41,0
174,73%,2,38,0
175,74%,2,35,0
176,74%,2,32,0
177,75%,3,29,0
178,76%,3,25,0
179,76%,3,33,0
180,77%,3,41,0
181,78%,3,42,0
182,79%,3,39,0
183,80%,3,34,0
184,80%,3,30,0
185,81%,3,31,0
186,81%,3,39,0
187,82%,3,47,0
188,83%,3,55,0
189,84%,3,57,0
190,85%,3,54,0
191,86%,3,44,0
192,87%,3,40,0
193,89%,3,37,0
194,89%,3,25,0
195,88%,3,19,0
196,89%,3,16,0
197,89%,3,21,0
198,90%,3,30,0
199,91%,3,38,0
200,91%,3,45,0
201,92%,3,53,0
202,93%,3,61,0
203,95%,3,68,0
204,96%,3,75,0
205,97%,3,82,0
206,100%,3,88,0
